X,Y,numero_pessoas
328525,7393847,5
328525,7393847,1
329060,7393925,9
329060,7393925,1
327955,7394800,1
327955,7394800,1
332049,7394707,2
326368,7398720,4
326368,7398720,1
328255,7392864,1
328255,7392864,1
364308,7349913,16
332564,7394415,1
328046,7398268,13
331623,7396562,1
332051,7396055,13
332051,7396055,1
332059,7396073,1
332059,7396073,1
332406,7394707,4
332406,7394707,1
332033,7394667,2
332033,7394667,1
331783,7391920,2
331783,7391920,1
332104,7392181,3
332104,7392181,1
331994,7394620,1
343611,7403587,1
343611,7403587,1
332611,7394399,1
332611,7394399,1
332612,7394047,1
332612,7394047,1
332016,7394529,2
333951,7395354,1
333951,7395354,1
334137,7395466,2
334137,7395466,1
335082,7395499,1
332001,7394935,1
332001,7394935,1
332241,7394615,1
329641,7388490,1
329641,7388490,1
331375,7394268,4
331375,7394268,1
331209,7394681,1
331209,7394681,1
327712,7389437,7
327712,7389437,1
327626,7389469,2
327626,7389469,1
326676,7391954,46
330299,7393790,7
330299,7393790,1
340295,7385043,1
337994,7389783,114
332622,7394859,1
322397,7380831,1
322397,7380831,1
319124,7378930,41
326606,7384118,7
332588,7394787,2
332783,7393208,45
327874,7389367,3
327874,7389367,1
332305,7394384,1
332305,7394384,1
332812,7395207,2
332812,7395207,1
332330,7394341,3
332330,7394341,1
329845,7393741,1
329845,7393741,1
332164,7391248,1
332164,7391248,1
332700,7394247,1
332700,7394247,1
330551,7393767,1
330551,7393767,1
332526,7394522,1
336694,7396313,2
332387,7394655,1
330582,7394066,1
330582,7394066,1
332430,7394221,1
332430,7394221,1
332612,7394124,1
328274,7390704,11
328274,7390704,1
328622,7391040,4
328622,7391040,1
332875,7394495,1
332875,7394495,1
332729,7394087,1
332729,7394087,1
332406,7394469,3
332810,7395365,5
332810,7395365,1
332229,7394408,1
330868,7394815,1
330868,7394815,1
332333,7394558,2
326974,7373787,91
326974,7373787,1
332576,7394311,1
332576,7394311,1
332385,7394466,1
330000,7390860,1
330000,7390860,1
332099,7394626,1
331822,7395305,1
333153,7395298,4
333153,7395298,1
331783,7395236,1
331783,7395236,1
332478,7394627,2
332160,7386279,5
332160,7386279,1
328443,7390097,24
328443,7390097,1
332252,7394434,4
332351,7392844,1
332351,7392844,1
332035,7394264,3
332035,7394264,1
332000,7394604,1
333344,7396194,1
333344,7396194,1
332640,7394148,3
332640,7394148,1
333045,7389552,3
333045,7389552,1
331524,7393141,2
331524,7393141,1
329917,7389344,1
329917,7389344,1
330197,7389054,1
330197,7389054,1
332849,7394419,8
331466,7396043,1
331466,7396043,1
332918,7393701,2
332918,7393701,1
330007,7393282,2
329938,7393794,8
329938,7393794,1
331286,7395851,12
331286,7395851,1
332228,7394509,2
332300,7394200,1
332300,7394200,1
332072,7394885,1
332072,7394885,1
332474,7394449,7
329247,7394157,1
329247,7394157,1
333165,7394580,2
333165,7394580,1
332647,7394141,1
323953,7401680,3
323953,7401680,1
332473,7394465,2
329594,7391701,2
329594,7391701,1
333151,7394567,1
333151,7394567,1
332418,7393835,13
332418,7393835,1
332471,7394463,2
332471,7394463,1
332947,7387961,42
332947,7387961,1
332397,7394552,3
331132,7393207,46
331132,7393207,1
332763,7394403,1
332763,7394403,1
332636,7395059,3
332670,7395381,2
332670,7395381,1
334855,7395660,1
334855,7395660,1
331950,7395011,1
340797,7396256,85
333012,7388850,1
333012,7388850,1
331986,7395447,2
331986,7395447,1
328339,7387448,1
328339,7387448,1
332046,7395009,1
332046,7395009,1
334782,7395664,1
334782,7395664,1
332004,7395233,1
329272,7395825,1
329272,7395825,1
329243,7395813,1
329243,7395813,1
332284,7395033,4
332284,7395033,1
332093,7395696,1
332093,7395696,1
328014,7392955,3
328014,7392955,1
339536,7407745,1
339536,7407745,1
332581,7395494,10
332581,7395494,1
332385,7394887,4
332385,7394887,1
332276,7395196,5
332276,7395196,1
331977,7395749,2
331977,7395749,1
331956,7394842,1
331956,7394842,1
332669,7395380,4
332477,7395136,2
332477,7395136,1
331770,7388479,2
331770,7388479,1
331950,7395596,1
327059,7397026,1
327059,7397026,1
327048,7397355,3
327048,7397355,1
331010,7394164,1
331010,7394164,1
329556,7393877,40
329556,7393877,1
331958,7395102,2
332557,7394994,2
332557,7394994,1
332561,7395014,2
332561,7395014,1
331953,7395619,2
331944,7395646,1
332501,7395048,1
332501,7395048,1
332485,7395034,1
332485,7395034,1
332464,7395524,3
332423,7395478,1
332423,7395478,1
332341,7396718,3
332341,7396718,1
331893,7395152,3
335655,7396694,2
335655,7396694,1
332447,7390381,3
332514,7391403,2
332514,7391403,1
332156,7395072,13
332863,7395738,2
332863,7395738,1
332900,7395619,1
332900,7395619,1
332159,7395099,4
332159,7395099,1
332486,7394519,5
332486,7394519,1
331871,7394408,1
331871,7394408,1
332066,7395402,3
332066,7395402,1
332054,7393041,40
332054,7393041,1
332270,7395540,1
332270,7395540,1
333788,7397847,1
333788,7397847,1
332045,7395351,1
332045,7395351,1
327612,7396138,1
327612,7396138,1
332172,7394934,1
331630,7396546,1
331630,7396546,1
331878,7395310,1
332087,7395309,1
332087,7395309,1
331929,7394979,2
331929,7394979,1
331323,7394217,12
331323,7394217,1
331894,7395566,1
332493,7395422,4
332493,7395422,1
332017,7395430,2
332017,7395430,1
326940,7392153,81
326940,7392153,1
332306,7395017,1
328460,7392941,1
328460,7392941,1
332064,7395254,2
332064,7395254,1
333229,7394643,4
333229,7394643,1
331979,7395539,1
331979,7395539,1
331864,7395004,1
331864,7395004,1
331189,7389611,6
331189,7389611,1
332335,7395659,1
332172,7395421,1
339937,7384168,1
339937,7384168,1
339829,7388074,32
339829,7388074,1
332229,7395186,2
333755,7391448,1
333755,7391448,1
332065,7395547,1
332065,7395547,1
332130,7395417,5
332894,7395963,3
332894,7395963,1
331468,7395566,4
331468,7395566,1
330723,7396907,1
330723,7396907,1
331974,7395539,1
341379,7394651,1
352881,7401308,1
352886,7401289,1
352886,7401289,1
341293,7394908,1
338936,7395657,56
332183,7395574,1
332300,7395494,1
332300,7395494,1
332366,7395224,1
333277,7396017,1
333277,7396017,1
333274,7395968,2
333274,7395968,1
332297,7395059,4
333251,7394528,6
333251,7394528,1
333185,7394415,1
333185,7394415,1
328040,7392901,1
328040,7392901,1
332160,7395100,13
332160,7395100,1
326410,7397430,2
326410,7397430,1
332328,7395063,1
332328,7395063,1
332316,7395112,1
332316,7395112,1
332311,7395235,5
333089,7395191,1
333089,7395191,1
332935,7394943,8
332935,7394943,1
330707,7396355,1
330707,7396355,1
329520,7391654,1
329520,7391654,1
330606,7393669,39
330606,7393669,1
332311,7395135,2
332311,7395135,1
333238,7391365,1
333238,7391365,1
332304,7395026,1
332304,7395026,1
338028,7382070,1
338028,7382070,1
333033,7392601,9
333033,7392601,1
332317,7394965,2
332768,7395807,2
333196,7395354,2
333196,7395354,1
332599,7396169,8
332599,7396169,1
334756,7396002,9
334756,7396002,1
331494,7394808,1
331494,7394808,1
332463,7396196,1
331721,7395844,19
331721,7395844,1
333246,7396196,2
333246,7396196,1
333623,7394725,3
333623,7394725,1
333157,7395578,2
333157,7395578,1
333124,7395571,2
333124,7395571,1
332662,7396057,2
332662,7396057,1
333683,7394684,3
333683,7394684,1
338112,7394492,22
338112,7394492,1
332452,7395584,2
328938,7390496,3
328938,7390496,1
332738,7395569,5
332889,7395663,1
332889,7395663,1
330331,7394167,4
332898,7395650,2
332898,7395650,1
332345,7395791,1
334572,7395174,2
334572,7395174,1
332537,7395730,1
332537,7395730,1
332577,7395860,2
332577,7395860,1
332779,7396278,1
332779,7396278,1
336027,7396050,8
336027,7396050,1
332465,7395576,1
332495,7395565,1
332495,7395565,1
332569,7395677,2
332569,7395677,1
332662,7383932,189
332662,7383932,1
332656,7396181,5
332656,7396181,1
331348,7396678,2
331348,7396678,1
332567,7396138,5
332127,7393008,1
332127,7393008,1
