X,Y,numero_pessoas
333130,7396947,3
339661,7389904,1
338340,7390615,1
326511,7398884,1
323571,7396383,9
330067,7396169,6
332893,7397366,2
332337,7396601,1
332959,7396924,1
332442,7396900,1
332840,7396820,2
334535,7396233,1
332714,7397041,1
332798,7397024,1
332664,7392122,19
333413,7395545,9
332732,7397004,3
324886,7393079,3
327467,7389668,2
334287,7397524,12
333717,7396275,2
333487,7396257,4
333457,7396446,1
334764,7396024,1
333509,7395007,1
333643,7395607,17
327112,7391455,6
333022,7396700,1
334683,7400098,2
333000,7396706,1
332146,7394703,2
332587,7397822,13
331726,7397740,1
331726,7397740,1
333148,7397422,2
330880,7397967,1
332558,7394407,2
332557,7394393,1
332452,7397418,2
331385,7397880,6
331385,7397880,1
330877,7397974,7
323013,7396990,12
332164,7397424,3
320883,7398968,1
331303,7397186,1
331303,7397186,1
334060,7397348,1
331780,7397612,1
332487,7394873,1
331870,7397338,3
331450,7397762,9
331450,7397762,1
331765,7397720,1
332070,7397188,3
330963,7396564,2
331083,7398766,5
331083,7398766,1
331542,7400939,1
332292,7397273,6
331689,7397417,1
331574,7398047,1
329634,7396137,1
332550,7397471,1
332716,7396935,1
331420,7397819,10
331420,7397819,1
331583,7398051,3
331492,7398032,3
332160,7397146,1
332321,7397210,1
332341,7392531,1
331220,7398033,1
331478,7398057,2
333772,7398248,3
342437,7394961,1
331370,7398076,1
312612,7400633,2
333179,7399831,1
330963,7395303,4
330048,7399118,1
329947,7399201,4
329947,7399201,1
331376,7398080,3
344149,7384105,1
329487,7395895,21
329364,7396090,1
329059,7395289,1
340289,7394901,1
331431,7397797,3
339420,7402704,1
331546,7397893,1
341120,7399693,1
331792,7397002,4
331332,7397630,1
331952,7397080,1
332567,7397524,3
333823,7398254,2
342777,7403133,1
333432,7396772,7
331924,7397077,2
331924,7397077,1
332726,7392966,1
332766,7392765,1
331886,7397579,6
331460,7395548,1
331248,7394643,4
331265,7394642,12
330102,7396510,4
332385,7397313,2
332317,7397617,2
332317,7397617,1
332051,7397273,1
332885,7396435,2
331700,7397335,4
332086,7397315,3
332086,7397315,1
331648,7395867,2
331314,7395767,1
332035,7397287,2
332633,7385109,24
332040,7398050,1
331563,7397661,4
331399,7398026,3
331400,7398003,1
331400,7398003,1
331199,7397589,1
328107,7399137,2
324245,7384062,2
325988,7382104,1
325498,7385926,2
326089,7385541,1
332506,7397396,3
332506,7397396,1
332536,7395257,4
331685,7397635,2
332584,7397565,2
332081,7397585,1
331957,7397742,1
332430,7397745,2
332430,7397745,1
328452,7396719,5
332604,7397373,2
332499,7397366,2
332499,7397366,1
334306,7392717,1
332561,7397208,1
334158,7395270,1
331865,7397482,4
331392,7397869,5
331392,7397869,1
332933,7397424,1
332395,7397567,2
333154,7397001,2
332390,7397582,1
332390,7397582,1
335524,7394555,1
332057,7397548,2
332057,7397548,1
333224,7395135,1
331993,7397424,3
331555,7396569,1
332289,7397276,6
332309,7397040,2
332288,7397427,9
332288,7397427,1
332432,7397038,2
332273,7397567,1
328599,7398566,2
332546,7396721,1
332546,7396721,1
332372,7397471,1
331490,7397677,6
332488,7397514,1
332601,7397466,1
330481,7397124,1
334632,7395988,1
332494,7397420,4
335139,7396025,1
328466,7394736,7
334935,7396008,4
334521,7392698,1
332775,7397647,2
330099,7393787,1
334397,7396320,8
332678,7397548,1
332678,7397548,1
331600,7397759,1
332001,7397827,2
332001,7397827,1
331636,7397518,1
332086,7398037,7
332390,7397854,5
332306,7395077,2
331487,7398887,4
331487,7398887,1
331418,7398115,6
331418,7398115,1
327513,7398416,44
331623,7397350,5
332543,7394921,1
332543,7394921,1
332422,7397108,1
333420,7397218,7
331417,7398114,7
335675,7396242,1
335675,7396242,1
331907,7397821,1
320589,7402838,1
333007,7397777,2
333007,7397777,1
331422,7398118,1
331422,7398118,1
331379,7397892,1
334693,7400080,2
331442,7397914,1
333744,7395840,1
333916,7396806,2
333931,7399231,1
334005,7397493,4
332912,7396501,1
333727,7397170,4
333184,7396843,2
333184,7396843,1
332797,7395793,1
333677,7397166,2
328111,7393247,1
334575,7395278,1
333802,7396909,3
333930,7396280,1
333930,7396280,1
332005,7392263,1
333818,7396998,4
333452,7397160,3
333452,7397160,1
333906,7396877,1
334596,7400276,3
333556,7397132,1
343897,7403410,10
333708,7397743,2
333419,7395527,12
334107,7397646,2
333769,7397516,2
333698,7397363,7
335736,7402964,1
334002,7397148,2
336600,7398414,1
336038,7398099,1
333845,7397501,1
323916,7394043,2
331523,7397603,1
333781,7397727,4
330244,7388911,1
333984,7398839,5
333709,7396984,1
333703,7396993,1
332671,7397045,2
333125,7397267,1
333125,7397267,1
342438,7396424,2
333429,7395165,1
333387,7397158,2
332891,7397850,1
333253,7397135,4
337719,7393988,1
337719,7393988,1
332355,7402917,2
333464,7397213,5
337526,7397166,2
332982,7397219,2
333503,7397023,8
331272,7393105,3
331272,7393105,1
333666,7397596,13
332657,7392028,1
325214,7379373,1
333812,7396491,1
333729,7396970,2
333729,7396970,1
333539,7397107,4
332293,7396599,2
333511,7397084,1
333433,7397165,1
332954,7396708,1
332954,7396708,1
333798,7397103,2
335314,7395798,13
333883,7399976,1
334024,7396853,1
332265,7393886,1
331424,7397599,2
333700,7397008,2
329614,7393868,1
332374,7395514,1
333782,7397727,3
334861,7398199,10
334861,7398199,1
332290,7397656,1
333836,7397502,2
333742,7397531,1
333742,7397531,1
329722,7397224,16
332935,7388052,1
333660,7397545,1
333817,7395782,1
334044,7397147,4
328386,7397311,1
334012,7397154,1
334012,7397154,1
334239,7396534,2
330370,7395706,1
330420,7395849,1
333815,7397310,3
334136,7396893,2
334043,7397168,3
334043,7397168,1
333571,7397957,8
333696,7397361,6
334096,7397389,1
334748,7396114,1
333743,7397735,1
333960,7397647,1
334058,7397221,5
334058,7397221,1
339151,7399024,2
332520,7390921,1
333711,7397786,1
333972,7399615,1
333972,7399615,1
335968,7394791,1
333444,7397070,1
334101,7397090,7
333843,7397151,3
333843,7397151,1
334732,7397148,2
326707,7404701,1
330981,7397563,4
333705,7396985,2
333705,7396985,1
332694,7397022,2
333654,7396953,2
334241,7396518,8
337286,7402284,1
333701,7397002,1
339391,7397440,14
333714,7396965,3
333198,7397097,2
333198,7397097,1
332763,7395381,8
333146,7397113,2
330647,7395866,1
379168,7399574,1
331561,7395100,4
331577,7395084,6
326811,7392427,10
312962,7410501,1
328780,7390863,10
329142,7390787,6
330903,7393427,9
333973,7399496,2
333084,7396895,1
333377,7397020,1
333366,7396822,4
333366,7396822,1
337629,7406633,2
334590,7397273,35
335108,7396823,20
335108,7396823,1
334758,7397154,2
331133,7395044,1
331547,7397585,4
331547,7397585,1
334626,7397282,1
334585,7397310,4
334658,7397477,10
334658,7397477,1
334831,7395695,4
339420,7392483,1
334609,7396709,1
334613,7396686,1
340307,7397109,16
334618,7397592,21
331182,7389392,40
335030,7397808,1
336596,7397646,4
334238,7397367,1
336432,7396393,1
335078,7396701,1
336039,7397320,1
334997,7397778,4
335854,7397072,19
335854,7397072,1
347745,7390254,1
337411,7398130,40
334910,7397548,2
334483,7396622,4
334690,7397509,8
334690,7397509,1
334733,7397191,1
334733,7397191,1
334579,7396527,1
332515,7396546,4
328690,7391185,1
330166,7392155,3
333996,7398983,2
334449,7396942,1
330191,7395710,1
334785,7397315,1
333991,7389166,1
334510,7397224,4
337710,7390374,1
334740,7397459,11
334740,7397459,1
334909,7397301,1
335185,7397150,1
